Category ,Question number,Question,Metric,Plant,Value,Participation,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,15,0,77,
Senior Leadership,0,Senior Leadership,Unfavourable,16,10,167,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,16,9,167,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,16,12,167,
Career Advancement,0,Career Advancement,Unfavourable,16,12,167,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,16,12,167,
Inclusion,0,Inclusion,Unfavourable,16,8,167,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,16,6,167,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,16,10,167,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,16,7,167,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,16,5,167,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,16,8,167,
Retention Driver,0,Retention Driver,Unfavourable,16,17,167,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,16,17,167,
Safety,0,Safety,Unfavourable,16,5,167,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,16,5,167,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,16,15,167,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,16,7,167,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,16,21,167,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,16,19,167,
Vision & Direction,0,Vision & Direction,Unfavourable,16,4,167,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,16,4,167,
Senior Leadership,0,Senior Leadership,Unfavourable,17,25,2015,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,17,25,2015,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,17,24,2015,
Career Advancement,0,Career Advancement,Unfavourable,17,16,2015,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,17,16,2015,
Inclusion,0,Inclusion,Unfavourable,17,11,2015,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,17,9,2015,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,17,13,2015,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,17,10,2015,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,17,7,2015,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,17,13,2015,
Retention Driver,0,Retention Driver,Unfavourable,17,18,2015,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,17,18,2015,
Safety,0,Safety,Unfavourable,17,13,2015,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,17,13,2015,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,17,20,2015,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,17,9,2015,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,17,32,2015,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,17,19,2015,
Vision & Direction,0,Vision & Direction,Unfavourable,17,4,2015,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,17,4,2015,
