Category ,Question number,Question,Metric,Plant,Value,Participation
Senior Leadership,0,Senior Leadership,Unfavourable,11,10,220
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,11,11,220
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,11,10,220
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,11,4,220
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,11,3,220
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,11,5,220
Inclusion,0,Inclusion,Unfavourable,11,5,220
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,11,4,220
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,11,6,220
Safety,0,Safety,Unfavourable,11,17,220
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,11,12,220
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,11,22,220
Training & Development,0,Training & Development,Unfavourable,11,16,220
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,11,19,220
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,11,13,220
Career Advancement,0,Career Advancement,Unfavourable,11,12,220
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,11,16,220
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,11,8,220
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,11,21,220
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,11,21,220
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,12,14,146
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,12,5,146
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,12,21,146
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,12,14,146
Retention Driver,0,Retention Driver,Unfavourable,12,12,146
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,12,12,146
Vision & Direction,0,Vision & Direction,Unfavourable,12,12,146
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,12,3,146
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,12,21,146
Senior Leadership,0,Senior Leadership,Unfavourable,12,17,146
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,12,15,146
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,12,20,146
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,12,6,146
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,12,4,146
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,12,8,146
Inclusion,0,Inclusion,Unfavourable,12,8,146
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,12,6,146
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,12,10,146
Safety,0,Safety,Unfavourable,12,20,146
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,12,9,146
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,12,31,146
Training & Development,0,Training & Development,Unfavourable,12,17,146
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,12,19,146
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,12,14,146
Career Advancement,0,Career Advancement,Unfavourable,12,19,146
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,12,27,146
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,12,11,146
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,12,23,146
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,12,23,146
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,13,19,131
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,13,8,131
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,13,35,131
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,13,15,131
Retention Driver,0,Retention Driver,Unfavourable,13,16,131
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,13,16,131
Vision & Direction,0,Vision & Direction,Unfavourable,13,13,131
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,13,1,131
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,13,24,131
Senior Leadership,0,Senior Leadership,Unfavourable,13,29,131
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,13,29,131
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,13,30,131
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,13,6,131
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,13,2,131
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,13,10,131
Inclusion,0,Inclusion,Unfavourable,13,8,131
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,13,5,131
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,13,11,131
Safety,0,Safety,Unfavourable,13,23,131
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,13,17,131
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,13,28,131
Training & Development,0,Training & Development,Unfavourable,13,21,131
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,13,26,131
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,13,15,131
Career Advancement,0,Career Advancement,Unfavourable,13,21,131
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,13,34,131
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,13,8,131
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,13,31,131
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,13,31,131
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,14,18,134
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,14,5,134
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,14,29,134
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,14,21,134
Retention Driver,0,Retention Driver,Unfavourable,14,12,134
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,14,12,134
Vision & Direction,0,Vision & Direction,Unfavourable,14,6,134
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,14,2,134
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,14,11,134
Senior Leadership,0,Senior Leadership,Unfavourable,14,21,134
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,14,24,134
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,14,19,134
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,14,7,134
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,14,5,134
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,14,8,134
Inclusion,0,Inclusion,Unfavourable,14,10,134
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,14,7,134
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,14,13,134
Safety,0,Safety,Unfavourable,14,34,134
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,14,10,134
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,14,58,134
Training & Development,0,Training & Development,Unfavourable,14,23,134
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,14,29,134
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,14,17,134
Career Advancement,0,Career Advancement,Unfavourable,14,22,134
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,14,34,134
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,14,9,134
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,14,33,134
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,14,33,134
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,15,18,101
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,15,8,101
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,15,30,101
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,15,18,101
Retention Driver,0,Retention Driver,Unfavourable,15,14,101
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,15,14,101
Vision & Direction,0,Vision & Direction,Unfavourable,15,17,101
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,15,4,101
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,15,30,101
Senior Leadership,0,Senior Leadership,Unfavourable,15,35,101
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,15,33,101
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,15,37,101
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,15,5,101
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,15,3,101
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,15,7,101
Inclusion,0,Inclusion,Unfavourable,15,9,101
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,15,2,101
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,15,17,101
Safety,0,Safety,Unfavourable,15,27,101
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,15,24,101
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,15,31,101
Training & Development,0,Training & Development,Unfavourable,15,32,101
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,15,42,101
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,15,22,101
Career Advancement,0,Career Advancement,Unfavourable,15,22,101
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,15,31,101
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,15,13,101
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,15,19,101
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,15,19,101
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,16,22,157
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,16,6,157
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,16,32,157
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,16,27,157
Retention Driver,0,Retention Driver,Unfavourable,16,15,157
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,16,15,157
Vision & Direction,0,Vision & Direction,Unfavourable,16,14,157
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,16,3,157
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,16,25,157
Senior Leadership,0,Senior Leadership,Unfavourable,16,31,157
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,16,32,157
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,16,31,157
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,16,8,157
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,16,5,157
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,16,10,157
Inclusion,0,Inclusion,Unfavourable,16,9,157
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,16,6,157
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,16,13,157
Safety,0,Safety,Unfavourable,16,33,157
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,16,12,157
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,16,54,157
Training & Development,0,Training & Development,Unfavourable,16,29,157
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,16,33,157
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,16,24,157
Career Advancement,0,Career Advancement,Unfavourable,16,22,157
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,16,29,157
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,16,16,157
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,16,31,157
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,16,31,157
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,17,16,2776
Sustainable Engagement,2,2. I believe strongly in the goals and objectives of Ball.,Unfavourable,17,6,2776
Sustainable Engagement,3,3. There are no substantial obstacles at work to doing my job well.,Unfavourable,17,27,2776
Sustainable Engagement,4,4. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,17,17,2776
Retention Driver,0,Retention Driver,Unfavourable,17,13,2776
Retention Driver,5,"5. At the present time, are you seriously considering leaving Ball?",Unfavourable,17,13,2776
Vision & Direction,0,Vision & Direction,Unfavourable,17,12,2776
Vision & Direction,6,6. I understand how my work contributes to Ball's business objectives. *,Unfavourable,17,2,2776
Vision & Direction,7,7. Senior leadership has a clear vision for the future. *,Unfavourable,17,22,2776
Senior Leadership,0,Senior Leadership,Unfavourable,17,23,2776
Senior Leadership,8,8. How good is senior leadership at managing change? *,Unfavourable,17,23,2776
Senior Leadership,9,9. Senior leadership communicates openly and honestly to employees. *,Unfavourable,17,23,2776
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,17,7,2776
Manager Effectiveness,10,10. My immediate supervisor/manager treats me with respect.,Unfavourable,17,5,2776
Manager Effectiveness,11,11. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,17,9,2776
Inclusion,0,Inclusion,Unfavourable,17,8,2776
Inclusion,12,"12. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words. *",Unfavourable,17,6,2776
Inclusion,13,13. I feel a strong sense of belonging to my department/team. *,Unfavourable,17,10,2776
Safety,0,Safety,Unfavourable,17,25,2776
Safety,14,"14. Safety rules are carefully observed, even if it means work is slowed down. *",Unfavourable,17,12,2776
Safety,15,"15. Overall, the physical working conditions are satisfactory (e.g., ventilation, temperature, space to work). *",Unfavourable,17,37,2776
Training & Development,0,Training & Development,Unfavourable,17,22,2776
Training & Development,16,16. There are sufficient training opportunities for me to improve my skills.,Unfavourable,17,26,2776
Training & Development,17,17. I have the opportunity for personal development and growth at Ball.,Unfavourable,17,17,2776
Career Advancement,0,Career Advancement,Unfavourable,17,17,2776
Career Advancement,18,18. Everyone has the same opportunity to advance in this company regardless of personal identity. *,Unfavourable,17,25,2776
Career Advancement,19,19. I think Ball offers long-term opportunities for me. *,Unfavourable,17,9,2776
Flexibility/Wellbeing,0,Flexibility/Wellbeing,Unfavourable,17,25,2776
Flexibility/Wellbeing,20,"20. I have the flexibility I need (when, how I work) to balance my work and personal responsibilities.",Unfavourable,17,25,2776
